source,metric,sector,vendor_pair,quissly_mean,other_mean,observed_diff,ci_low,ci_high,p_raw,p_holm_236,significant_236,n_queries,n_replicates,seed
corrected_ndcg,ndcg_at_10,pharmacy,quissly_vs_clerk,0.667528,0.429229,0.238299,0.161649,0.312552,0.000000,0.000000,True,172,10000,42
corrected_ndcg,ndcg_at_10,pooled,quissly_vs_clerk,0.737846,0.492366,0.245480,0.224793,0.266489,0.000000,0.000000,True,1212,10000,42
corrected_ndcg,ndcg_at_10,auto,quissly_vs_doofinder,0.800648,0.595420,0.205228,0.160891,0.249257,0.000000,0.000000,True,180,10000,42
corrected_ndcg,ndcg_at_10,cosmetics,quissly_vs_doofinder,0.790738,0.662421,0.128317,0.092278,0.166692,0.000000,0.000000,True,177,10000,42
corrected_ndcg,ndcg_at_10,electronics,quissly_vs_doofinder,0.759951,0.513749,0.246202,0.198925,0.295084,0.000000,0.000000,True,178,10000,42
corrected_ndcg,ndcg_at_10,fast_fashion,quissly_vs_doofinder,0.693549,0.491983,0.201566,0.141296,0.259551,0.000000,0.000000,True,174,10000,42
corrected_ndcg,ndcg_at_10,furniture,quissly_vs_doofinder,0.768606,0.579282,0.189323,0.147133,0.232138,0.000000,0.000000,True,177,10000,42
corrected_ndcg,ndcg_at_10,marketplace,quissly_vs_doofinder,0.671329,0.558796,0.112533,0.049836,0.176222,0.000000,0.000000,True,154,10000,42
corrected_ndcg,ndcg_at_10,pharmacy,quissly_vs_doofinder,0.667528,0.391238,0.276291,0.207668,0.342973,0.000000,0.000000,True,172,10000,42
corrected_ndcg,ndcg_at_10,pooled,quissly_vs_doofinder,0.737846,0.542374,0.195472,0.175836,0.215372,0.000000,0.000000,True,1212,10000,42
corrected_ndcg,ndcg_at_10,auto,quissly_vs_luigisbox,0.800648,0.573037,0.227611,0.177153,0.277347,0.000000,0.000000,True,180,10000,42
corrected_ndcg,ndcg_at_10,cosmetics,quissly_vs_luigisbox,0.790738,0.627365,0.163373,0.117466,0.210869,0.000000,0.000000,True,177,10000,42
